Date,Open,High,Low,Close,Adj Close,Volume
2021-12-09,15705.929688,15721.480469,15613.400391,15639.259766,15639.259766,60664300
2021-12-10,15572.690430,15689.500000,15550.450195,15623.309570,15623.309570,58755300
2021-12-13,15653.570313,15794.309570,15591.620117,15621.719727,15621.719727,56995000
2021-12-14,15680.349609,15697.980469,15448.450195,15453.559570,15453.559570,62436700
2021-12-15,15503.639648,15531.040039,15451.740234,15476.349609,15476.349609,54560500
2021-12-16,15708.940430,15780.929688,15621.570313,15636.400391,15636.400391,87304300
2021-12-17,15599.750000,15609.509766,15419.549805,15531.690430,15531.690430,140842600
2021-12-20,15152.559570,15296.080078,15060.099609,15239.669922,15239.669922,69118800
2021-12-21,15379.080078,15452.419922,15305.610352,15447.440430,15447.440430,53329700
2021-12-22,15474.839844,15593.469727,15425.160156,15593.469727,15593.469727,42996600
2021-12-23,15660.780273,15768.450195,15622.599609,15756.309570,15756.309570,43253900
2021-12-27,15705.530273,15854.620117,15697.440430,15835.250000,15835.250000,28899600
2021-12-28,15839.190430,15974.790039,15832.959961,15963.700195,15963.700195,34021000
2021-12-29,15952.469727,15955.030273,15803.589844,15852.250000,15852.250000,34973900
2021-12-30,15837.559570,15890.740234,15834.570313,15884.860352,15884.860352,32456600
2022-01-03,15947.440430,16069.379883,15943.160156,16020.730469,16020.730469,56865800
2022-01-04,16069.799805,16202.580078,16036.519531,16152.610352,16152.610352,75187400
2022-01-05,16177.440430,16285.349609,16161.719727,16271.750000,16271.750000,68244500
2022-01-06,16076.160156,16156.559570,15988.629883,16052.030273,16052.030273,75756700
2022-01-07,15999.019531,16044.280273,15862.709961,15947.740234,15947.740234,74469300
2022-01-10,16006.440430,16015.339844,15724.230469,15768.269531,15768.269531,82834300
2022-01-11,15918.820313,15979.990234,15880.389648,15941.809570,15941.809570,74622100
2022-01-12,16054.929688,16061.500000,15955.540039,16010.320313,16010.320313,69357000
2022-01-13,15959.830078,16090.290039,15941.780273,16031.589844,16031.589844,72976100
2022-01-14,15929.370117,15970.700195,15833.730469,15883.240234,15883.240234,80457700
2022-01-17,15948.900391,15962.700195,15894.769531,15933.719727,15933.719727,46576400
2022-01-18,15839.150391,15843.580078,15669.349609,15772.559570,15772.559570,70557600
2022-01-19,15639.450195,15898.049805,15629.860352,15809.719727,15809.719727,74923900
2022-01-20,15837.240234,15912.330078,15737.330078,15912.330078,15912.330078,62979800
